maintenance_id,repair_request_date,equipment_name,equipment_id,install_date,fault_type,fault_severity,fault_description,repair_status,repair_cost
M00246,2025-11-09,pc,EQUIP40871,2025-09-20,dust cleaning,Высокая,Обнаружена dust cleaning после 6 дней эксплуатации,Отклонена,2000
M00247,2025-11-09,ip_phone,EQUIP14741,2025-10-15,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 2 дней эксплуатации,В обработке,0
M00248,2025-11-09,ip_phone,EQUIP14471,2025-08-29,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 30 дней эксплуатации,В обработке,2000
M00249,2025-11-10,scaner,EQUIP35443,2025-10-20,software update,Низкая,Обнаружена software update после 14 дней эксплуатации,В обработке,1000
M00250,2025-11-11,scaner,EQUIP53383,2025-10-01,dust cleaning,Средняя,Обнаружена dust cleaning после 11 дней эксплуатации,Новая,2000
M00251,2025-11-11,scaner,EQUIP65392,2025-09-06,port testing,Средняя,Обнаружена port testing после 2 дней эксплуатации,Решена,0
M00252,2025-11-12,pc,EQUIP34749,2025-09-28,port testing,Средняя,Обнаружена port testing после 28 дней эксплуатации,Решена,1000
M00253,2025-11-14,scaner,EQUIP66846,2025-08-20,port testing,Средняя,Обнаружена port testing после 11 дней эксплуатации,Отклонена,2000
M00254,2025-11-14,nas,EQUIP90533,2025-10-24,software update,Средняя,Обнаружена software update после 22 дней эксплуатации,Новая,0
M00255,2025-11-14,pc,EQUIP26630,2025-09-28,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 5 дней эксплуатации,Решена,1000
M00256,2025-11-15,cisco_router,EQUIP81944,2025-09-28,error log analysis,Низкая,Обнаружена error log analysis после 26 дней эксплуатации,Отклонена,0
M00257,2025-11-16,nas,EQUIP35221,2025-10-18,dust cleaning,Высокая,Обнаружена dust cleaning после 17 дней эксплуатации,Отклонена,1000
M00258,2025-11-17,cisco_switch,EQUIP87215,2025-11-13,port testing,Средняя,Обнаружена port testing после 28 дней эксплуатации,В обработке,0
M00259,2025-11-19,cisco_router,EQUIP89023,2025-08-28,dust cleaning,Высокая,Обнаружена dust cleaning после 5 дней эксплуатации,Новая,0
M00260,2025-11-21,ip_phone,EQUIP21746,2025-10-17,dust cleaning,Низкая,Обнаружена dust cleaning после 7 дней эксплуатации,Новая,1000
M00261,2025-11-22,printer,EQUIP43399,2025-09-22,software update,Низкая,Обнаружена software update после 8 дней эксплуатации,Отклонена,2000
M00262,2025-11-23,printer,EQUIP24092,2025-11-03,dust cleaning,Низкая,Обнаружена dust cleaning после 23 дней эксплуатации,В обработке,0
M00263,2025-11-23,ip_phone,EQUIP33915,2025-10-25,error log analysis,Высокая,Обнаружена error log analysis после 12 дней эксплуатации,В обработке,2000
M00264,2025-11-24,ip_phone,EQUIP48916,2025-09-26,port testing,Высокая,Обнаружена port testing после 15 дней эксплуатации,В обработке,10000
M00265,2025-11-24,ip_phone,EQUIP35405,2025-10-19,error log analysis,Низкая,Обнаружена error log analysis после 18 дней эксплуатации,В обработке,0
M00266,2025-11-25,printer,EQUIP59786,2025-11-09,port testing,Средняя,Обнаружена port testing после 21 дней эксплуатации,Отклонена,1000
M00267,2025-11-26,cisco_router,EQUIP91792,2025-11-19,software update,Низкая,Обнаружена software update после 11 дней эксплуатации,Решена,2000
M00268,2025-11-27,ip_phone,EQUIP16112,2025-11-04,port testing,Средняя,Обнаружена port testing после 13 дней эксплуатации,Решена,0
M00269,2025-11-28,nas,EQUIP10078,2025-09-26,dust cleaning,Высокая,Обнаружена dust cleaning после 12 дней эксплуатации,Решена,5000
M00270,2025-11-28,scaner,EQUIP28236,2025-09-02,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 1 дней эксплуатации,Новая,2000
M00271,2025-11-30,pc,EQUIP89792,2025-09-17,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 4 дней эксплуатации,Новая,0
M00272,2025-12-02,scaner,EQUIP99114,2025-10-03,error log analysis,Средняя,Обнаружена error log analysis после 30 дней эксплуатации,Отклонена,5000
M00273,2025-12-02,ip_phone,EQUIP90498,2025-09-30,dust cleaning,Высокая,Обнаружена dust cleaning после 11 дней эксплуатации,Решена,10000
M00274,2025-12-04,ip_phone,EQUIP91521,2025-09-17,port testing,Высокая,Обнаружена port testing после 24 дней эксплуатации,В обработке,1000
M00275,2025-12-05,pc,EQUIP66864,2025-09-06,port testing,Высокая,Обнаружена port testing после 29 дней эксплуатации,В обработке,10000
M00276,2025-12-06,pc,EQUIP52482,2025-09-30,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 8 дней эксплуатации,Решена,1000
M00277,2025-12-07,cisco_switch,EQUIP86479,2025-12-06,port testing,Низкая,Обнаружена port testing после 18 дней эксплуатации,Новая,5000
M00278,2025-12-09,printer,EQUIP19968,2025-11-08,port testing,Средняя,Обнаружена port testing после 25 дней эксплуатации,В обработке,10000
M00279,2025-12-10,printer,EQUIP56633,2025-11-06,dust cleaning,Высокая,Обнаружена dust cleaning после 13 дней эксплуатации,Решена,10000
M00280,2025-12-11,printer,EQUIP65904,2025-11-06,port testing,Высокая,Обнаружена port testing после 8 дней эксплуатации,Новая,2000
M00281,2025-12-12,pc,EQUIP97202,2025-10-27,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 17 дней эксплуатации,В обработке,0
M00282,2025-12-12,cisco_switch,EQUIP70409,2025-12-04,error log analysis,Низкая,Обнаружена error log analysis после 28 дней эксплуатации,Новая,0
M00283,2025-12-13,cisco_router,EQUIP31245,2025-09-18,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 25 дней эксплуатации,Отклонена,10000
M00284,2025-12-14,cisco_router,EQUIP89742,2025-09-23,hardware diagnostics,Низкая,Обнаружена hardware diagnostics после 19 дней эксплуатации,Решена,1000
M00285,2025-12-16,pc,EQUIP47231,2025-10-03,error log analysis,Низкая,Обнаружена error log analysis после 17 дней эксплуатации,Новая,2000
M00286,2025-12-18,ip_phone,EQUIP14887,2025-09-23,dust cleaning,Средняя,Обнаружена dust cleaning после 27 дней эксплуатации,Новая,1000
M00287,2025-12-19,scaner,EQUIP87115,2025-12-12,software update,Высокая,Обнаружена software update после 2 дней эксплуатации,Решена,10000
M00288,2025-12-21,cisco_router,EQUIP99441,2025-11-04,port testing,Средняя,Обнаружена port testing после 8 дней эксплуатации,В обработке,5000
M00289,2025-12-23,nas,EQUIP50081,2025-11-03,hardware diagnostics,Низкая,Обнаружена hardware diagnostics после 16 дней эксплуатации,Отклонена,0
M00290,2025-12-25,pc,EQUIP70027,2025-11-27,error log analysis,Низкая,Обнаружена error log analysis после 21 дней эксплуатации,Отклонена,10000
M00291,2025-12-26,cisco_router,EQUIP87066,2025-10-22,error log analysis,Высокая,Обнаружена error log analysis после 3 дней эксплуатации,В обработке,1000
M00292,2025-12-28,scaner,EQUIP55894,2025-11-05,hardware diagnostics,Низкая,Обнаружена hardware diagnostics после 11 дней эксплуатации,Отклонена,2000
M00293,2025-12-28,scaner,EQUIP75757,2025-10-12,error log analysis,Низкая,Обнаружена error log analysis после 13 дней эксплуатации,Решена,5000
M00294,2025-12-30,printer,EQUIP41967,2025-12-26,software update,Средняя,Обнаружена software update после 6 дней эксплуатации,В обработке,5000
M00295,2025-12-30,nas,EQUIP71378,2025-11-20,error log analysis,Высокая,Обнаружена error log analysis после 26 дней эксплуатации,В обработке,1000
M00296,2026-01-01,scaner,EQUIP81922,2025-10-04,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 18 дней эксплуатации,В обработке,10000
M00297,2026-01-01,pc,EQUIP80016,2025-11-17,port testing,Низкая,Обнаружена port testing после 28 дней эксплуатации,В обработке,1000
M00298,2026-01-03,cisco_router,EQUIP53591,2025-12-08,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 17 дней эксплуатации,Отклонена,2000
M00299,2026-01-04,cisco_router,EQUIP85676,2025-12-01,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 5 дней эксплуатации,В обработке,0
M00300,2026-01-05,printer,EQUIP31091,2026-01-04,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 14 дней эксплуатации,Решена,1000
M00301,2026-01-07,nas,EQUIP29369,2025-12-02,dust cleaning,Средняя,Обнаружена dust cleaning после 18 дней эксплуатации,Решена,2000
M00302,2026-01-07,ip_phone,EQUIP58316,2025-10-12,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 18 дней эксплуатации,Решена,0
M00303,2026-01-07,scaner,EQUIP88359,2025-11-10,error log analysis,Высокая,Обнаружена error log analysis после 18 дней эксплуатации,Решена,10000
M00304,2026-01-08,nas,EQUIP92416,2025-11-19,error log analysis,Средняя,Обнаружена error log analysis после 8 дней эксплуатации,Новая,1000
M00305,2026-01-08,cisco_switch,EQUIP47295,2025-11-14,port testing,Средняя,Обнаружена port testing после 30 дней эксплуатации,Отклонена,5000
M00306,2026-01-10,printer,EQUIP82302,2025-10-25,software update,Средняя,Обнаружена software update после 26 дней эксплуатации,В обработке,10000
M00307,2026-01-10,cisco_switch,EQUIP92040,2025-12-17,port testing,Низкая,Обнаружена port testing после 10 дней эксплуатации,Новая,1000
M00308,2026-01-11,pc,EQUIP56855,2025-11-13,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 18 дней эксплуатации,Отклонена,10000
M00309,2026-01-13,nas,EQUIP19968,2025-11-03,port testing,Высокая,Обнаружена port testing после 7 дней эксплуатации,Решена,10000
M00310,2026-01-13,scaner,EQUIP99584,2025-10-30,hardware diagnostics,Низкая,Обнаружена hardware diagnostics после 2 дней эксплуатации,Новая,2000
M00311,2026-01-15,nas,EQUIP73934,2025-10-24,error log analysis,Высокая,Обнаружена error log analysis после 5 дней эксплуатации,Отклонена,2000
M00312,2026-01-17,pc,EQUIP22178,2025-10-28,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 9 дней эксплуатации,Отклонена,10000
M00313,2026-01-19,cisco_router,EQUIP55749,2025-11-14,port testing,Средняя,Обнаружена port testing после 5 дней эксплуатации,В обработке,2000
M00314,2026-01-21,ip_phone,EQUIP29591,2025-11-20,dust cleaning,Низкая,Обнаружена dust cleaning после 15 дней эксплуатации,В обработке,10000
M00315,2026-01-21,cisco_router,EQUIP39926,2026-01-14,error log analysis,Средняя,Обнаружена error log analysis после 4 дней эксплуатации,Новая,2000
M00316,2026-01-23,pc,EQUIP29271,2026-01-17,dust cleaning,Низкая,Обнаружена dust cleaning после 28 дней эксплуатации,Отклонена,5000
M00317,2026-01-23,printer,EQUIP42001,2026-01-07,error log analysis,Средняя,Обнаружена error log analysis после 11 дней эксплуатации,Новая,5000
M00318,2026-01-23,ip_phone,EQUIP17488,2025-11-04,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 11 дней эксплуатации,В обработке,5000
M00319,2026-01-24,pc,EQUIP68583,2025-12-10,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 3 дней эксплуатации,Решена,1000
M00320,2026-01-24,pc,EQUIP17931,2025-12-07,port testing,Средняя,Обнаружена port testing после 15 дней эксплуатации,В обработке,5000
M00321,2026-01-26,cisco_switch,EQUIP65722,2026-01-09,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 11 дней эксплуатации,В обработке,2000
M00322,2026-01-28,scaner,EQUIP55427,2025-10-31,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 20 дней эксплуатации,В обработке,10000
M00323,2026-01-30,scaner,EQUIP11695,2025-12-11,dust cleaning,Высокая,Обнаружена dust cleaning после 13 дней эксплуатации,В обработке,5000
M00324,2026-01-31,printer,EQUIP62655,2025-11-24,error log analysis,Высокая,Обнаружена error log analysis после 30 дней эксплуатации,В обработке,0
M00325,2026-01-31,pc,EQUIP43073,2025-11-26,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 13 дней эксплуатации,Новая,0
M00326,2026-02-01,cisco_router,EQUIP53676,2026-01-20,error log analysis,Низкая,Обнаружена error log analysis после 14 дней эксплуатации,Решена,5000
M00327,2026-02-01,cisco_switch,EQUIP10954,2025-11-09,port testing,Высокая,Обнаружена port testing после 15 дней эксплуатации,Новая,1000
M00328,2026-02-02,cisco_switch,EQUIP55087,2025-12-07,error log analysis,Низкая,Обнаружена error log analysis после 29 дней эксплуатации,Новая,1000
M00329,2026-02-04,cisco_switch,EQUIP67193,2025-11-28,dust cleaning,Средняя,Обнаружена dust cleaning после 21 дней эксплуатации,Новая,10000
M00330,2026-02-05,cisco_switch,EQUIP18819,2025-11-13,software update,Низкая,Обнаружена software update после 20 дней эксплуатации,Новая,2000
M00331,2026-02-05,cisco_switch,EQUIP60731,2026-01-10,dust cleaning,Средняя,Обнаружена dust cleaning после 3 дней эксплуатации,Отклонена,1000
M00332,2026-02-07,nas,EQUIP21377,2026-01-07,software update,Высокая,Обнаружена software update после 6 дней эксплуатации,Новая,1000
M00333,2026-02-09,printer,EQUIP10980,2025-12-14,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 14 дней эксплуатации,Отклонена,0
M00334,2026-02-09,ip_phone,EQUIP41251,2026-01-19,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 10 дней эксплуатации,В обработке,5000
M00335,2026-02-11,cisco_switch,EQUIP89608,2025-11-30,software update,Высокая,Обнаружена software update после 1 дней эксплуатации,Решена,2000
M00336,2026-02-12,pc,EQUIP66678,2026-02-03,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 23 дней эксплуатации,В обработке,1000
M00337,2026-02-12,cisco_switch,EQUIP47924,2025-12-30,dust cleaning,Низкая,Обнаружена dust cleaning после 12 дней эксплуатации,Новая,0
M00338,2026-02-13,nas,EQUIP61775,2025-11-24,software update,Высокая,Обнаружена software update после 6 дней эксплуатации,В обработке,5000
M00339,2026-02-14,cisco_switch,EQUIP16612,2026-01-26,dust cleaning,Высокая,Обнаружена dust cleaning после 16 дней эксплуатации,Отклонена,5000
M00340,2026-02-14,cisco_switch,EQUIP33781,2026-02-03,error log analysis,Средняя,Обнаружена error log analysis после 12 дней эксплуатации,Решена,10000
M00341,2026-02-16,ip_phone,EQUIP10660,2025-12-13,port testing,Низкая,Обнаружена port testing после 8 дней эксплуатации,В обработке,5000
M00342,2026-02-18,scaner,EQUIP24658,2026-01-23,dust cleaning,Высокая,Обнаружена dust cleaning после 9 дней эксплуатации,Решена,1000
M00343,2026-02-18,ip_phone,EQUIP17832,2025-12-01,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 16 дней эксплуатации,В обработке,10000
M00344,2026-02-18,nas,EQUIP28632,2026-01-08,hardware diagnostics,Низкая,Обнаружена hardware diagnostics после 4 дней эксплуатации,Отклонена,1000
M00345,2026-02-18,printer,EQUIP16476,2026-01-22,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 12 дней эксплуатации,Новая,0
M00346,2026-02-20,scaner,EQUIP50921,2026-01-27,dust cleaning,Низкая,Обнаружена dust cleaning после 29 дней эксплуатации,Отклонена,1000
M00347,2026-02-20,printer,EQUIP60401,2026-01-06,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 29 дней эксплуатации,Новая,0
M00348,2026-02-20,scaner,EQUIP16486,2026-01-12,dust cleaning,Высокая,Обнаружена dust cleaning после 2 дней эксплуатации,Новая,2000
M00349,2026-02-21,cisco_router,EQUIP96052,2026-01-29,port testing,Высокая,Обнаружена port testing после 9 дней эксплуатации,В обработке,1000
M00350,2026-02-22,cisco_switch,EQUIP38675,2026-02-20,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 10 дней эксплуатации,Отклонена,1000
M00351,2026-02-22,ip_phone,EQUIP84872,2026-01-27,hardware diagnostics,Низкая,Обнаружена hardware diagnostics после 6 дней эксплуатации,Решена,10000
M00352,2026-02-23,cisco_router,EQUIP11209,2025-12-08,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 16 дней эксплуатации,В обработке,1000
M00353,2026-02-25,cisco_switch,EQUIP90409,2026-01-03,error log analysis,Низкая,Обнаружена error log analysis после 24 дней эксплуатации,Отклонена,10000
M00354,2026-02-26,printer,EQUIP42201,2025-12-04,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 20 дней эксплуатации,Отклонена,2000
M00355,2026-02-28,cisco_router,EQUIP52481,2025-12-18,port testing,Средняя,Обнаружена port testing после 5 дней эксплуатации,В обработке,2000
M00356,2026-03-02,nas,EQUIP48129,2026-02-21,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 27 дней эксплуатации,Решена,5000
M00357,2026-03-02,cisco_router,EQUIP47637,2026-02-10,error log analysis,Высокая,Обнаружена error log analysis после 6 дней эксплуатации,Решена,10000
M00358,2026-03-02,ip_phone,EQUIP57754,2026-02-15,software update,Низкая,Обнаружена software update после 17 дней эксплуатации,Новая,1000
M00359,2026-03-02,ip_phone,EQUIP28426,2026-03-01,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 30 дней эксплуатации,В обработке,10000
M00360,2026-03-03,ip_phone,EQUIP48527,2025-12-17,error log analysis,Высокая,Обнаружена error log analysis после 29 дней эксплуатации,Новая,5000
M00361,2026-03-05,ip_phone,EQUIP55894,2026-02-04,error log analysis,Высокая,Обнаружена error log analysis после 30 дней эксплуатации,Новая,10000
M00362,2026-03-05,printer,EQUIP47057,2026-02-18,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 18 дней эксплуатации,Решена,2000
M00363,2026-03-06,ip_phone,EQUIP94456,2025-12-26,port testing,Средняя,Обнаружена port testing после 20 дней эксплуатации,В обработке,5000
M00364,2026-03-08,cisco_switch,EQUIP77315,2025-12-25,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 16 дней эксплуатации,Решена,0
M00365,2026-03-09,scaner,EQUIP89144,2026-01-25,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 28 дней эксплуатации,В обработке,10000
M00366,2026-03-09,cisco_switch,EQUIP98407,2026-02-19,dust cleaning,Средняя,Обнаружена dust cleaning после 8 дней эксплуатации,В обработке,5000
M00367,2026-03-10,printer,EQUIP76973,2025-12-19,error log analysis,Высокая,Обнаружена error log analysis после 26 дней эксплуатации,Новая,0
M00368,2026-03-12,cisco_router,EQUIP35209,2026-01-07,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 26 дней эксплуатации,Отклонена,2000
M00369,2026-03-14,nas,EQUIP17518,2026-01-04,dust cleaning,Низкая,Обнаружена dust cleaning после 14 дней эксплуатации,Отклонена,10000
M00370,2026-03-16,pc,EQUIP76178,2026-01-14,software update,Низкая,Обнаружена software update после 23 дней эксплуатации,Решена,2000
M00371,2026-03-16,printer,EQUIP83264,2026-01-28,error log analysis,Низкая,Обнаружена error log analysis после 4 дней эксплуатации,В обработке,10000
M00372,2026-03-16,printer,EQUIP56838,2026-01-21,dust cleaning,Средняя,Обнаружена dust cleaning после 2 дней эксплуатации,В обработке,1000
M00373,2026-03-16,nas,EQUIP70377,2026-03-13,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 16 дней эксплуатации,В обработке,1000
M00374,2026-03-17,nas,EQUIP37400,2025-12-26,dust cleaning,Низкая,Обнаружена dust cleaning после 8 дней эксплуатации,Новая,2000
M00375,2026-03-18,pc,EQUIP78284,2025-12-29,dust cleaning,Высокая,Обнаружена dust cleaning после 18 дней эксплуатации,В обработке,10000
M00376,2026-03-20,pc,EQUIP70092,2026-01-09,software update,Низкая,Обнаружена software update после 29 дней эксплуатации,В обработке,0
M00377,2026-03-22,nas,EQUIP77383,2026-01-31,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 4 дней эксплуатации,Отклонена,10000
M00378,2026-03-22,ip_phone,EQUIP56932,2026-01-30,dust cleaning,Высокая,Обнаружена dust cleaning после 7 дней эксплуатации,Решена,0
M00379,2026-03-22,cisco_router,EQUIP27927,2026-02-27,dust cleaning,Средняя,Обнаружена dust cleaning после 4 дней эксплуатации,В обработке,2000
M00380,2026-03-23,pc,EQUIP12932,2026-03-14,hardware diagnostics,Низкая,Обнаружена hardware diagnostics после 22 дней эксплуатации,В обработке,5000
M00381,2026-03-24,scaner,EQUIP59609,2025-12-26,dust cleaning,Низкая,Обнаружена dust cleaning после 15 дней эксплуатации,Отклонена,1000
M00382,2026-03-25,pc,EQUIP52880,2026-02-07,error log analysis,Низкая,Обнаружена error log analysis после 13 дней эксплуатации,В обработке,2000
M00383,2026-03-26,ip_phone,EQUIP46522,2026-02-16,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 23 дней эксплуатации,Решена,5000
M00384,2026-03-27,scaner,EQUIP14552,2026-01-13,port testing,Средняя,Обнаружена port testing после 16 дней эксплуатации,Отклонена,2000
M00385,2026-03-27,nas,EQUIP69472,2026-03-14,dust cleaning,Средняя,Обнаружена dust cleaning после 27 дней эксплуатации,Решена,10000
M00386,2026-03-27,printer,EQUIP36216,2026-01-04,software update,Низкая,Обнаружена software update после 1 дней эксплуатации,Отклонена,2000
M00387,2026-03-29,ip_phone,EQUIP97760,2026-01-03,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 26 дней эксплуатации,Новая,10000
M00388,2026-03-31,pc,EQUIP96536,2026-02-13,dust cleaning,Низкая,Обнаружена dust cleaning после 13 дней эксплуатации,Решена,10000
M00389,2026-04-02,nas,EQUIP17769,2026-01-03,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 9 дней эксплуатации,Решена,1000
M00390,2026-04-04,cisco_router,EQUIP50611,2026-02-01,error log analysis,Низкая,Обнаружена error log analysis после 3 дней эксплуатации,В обработке,2000
M00391,2026-04-06,printer,EQUIP54363,2026-02-23,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 9 дней эксплуатации,В обработке,1000
M00392,2026-04-07,nas,EQUIP29723,2026-02-03,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 13 дней эксплуатации,В обработке,0
M00393,2026-04-09,pc,EQUIP83272,2026-01-23,error log analysis,Высокая,Обнаружена error log analysis после 30 дней эксплуатации,В обработке,2000
M00394,2026-04-09,scaner,EQUIP80356,2026-03-27,dust cleaning,Низкая,Обнаружена dust cleaning после 17 дней эксплуатации,В обработке,2000
M00395,2026-04-10,printer,EQUIP99328,2026-02-15,hardware diagnostics,Низкая,Обнаружена hardware diagnostics после 16 дней эксплуатации,Отклонена,0
M00396,2026-04-10,cisco_switch,EQUIP99869,2026-02-12,software update,Высокая,Обнаружена software update после 29 дней эксплуатации,В обработке,2000
M00397,2026-04-12,cisco_switch,EQUIP78183,2026-03-12,port testing,Высокая,Обнаружена port testing после 14 дней эксплуатации,В обработке,5000
M00398,2026-04-14,cisco_switch,EQUIP21891,2026-03-19,error log analysis,Высокая,Обнаружена error log analysis после 14 дней эксплуатации,В обработке,5000
M00399,2026-04-16,cisco_switch,EQUIP92781,2026-01-17,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 11 дней эксплуатации,Решена,5000
M00400,2026-04-16,cisco_switch,EQUIP61499,2026-04-02,port testing,Средняя,Обнаружена port testing после 26 дней эксплуатации,Отклонена,5000
M00401,2026-04-16,cisco_router,EQUIP11539,2026-03-12,dust cleaning,Средняя,Обнаружена dust cleaning после 7 дней эксплуатации,Отклонена,2000
M00402,2026-04-16,scaner,EQUIP47103,2026-03-18,port testing,Высокая,Обнаружена port testing после 2 дней эксплуатации,Новая,5000
M00403,2026-04-18,scaner,EQUIP80655,2026-03-12,dust cleaning,Средняя,Обнаружена dust cleaning после 12 дней эксплуатации,Решена,2000
M00404,2026-04-20,cisco_switch,EQUIP41299,2026-02-25,port testing,Низкая,Обнаружена port testing после 4 дней эксплуатации,Новая,10000
M00405,2026-04-22,scaner,EQUIP41244,2026-02-05,error log analysis,Средняя,Обнаружена error log analysis после 30 дней эксплуатации,В обработке,2000
M00406,2026-04-23,pc,EQUIP84321,2026-02-01,port testing,Средняя,Обнаружена port testing после 12 дней эксплуатации,Новая,0
M00407,2026-04-23,nas,EQUIP29613,2026-02-06,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 16 дней эксплуатации,Отклонена,5000
M00408,2026-04-23,printer,EQUIP23694,2026-02-05,error log analysis,Средняя,Обнаружена error log analysis после 12 дней эксплуатации,Новая,10000
M00409,2026-04-23,cisco_switch,EQUIP65450,2026-03-05,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 5 дней эксплуатации,Новая,10000
M00410,2026-04-23,scaner,EQUIP85225,2026-04-11,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 30 дней эксплуатации,Новая,5000
M00411,2026-04-25,ip_phone,EQUIP56989,2026-04-15,software update,Высокая,Обнаружена software update после 15 дней эксплуатации,В обработке,2000
M00412,2026-04-27,printer,EQUIP84011,2026-03-08,dust cleaning,Высокая,Обнаружена dust cleaning после 8 дней эксплуатации,В обработке,5000
M00413,2026-04-27,nas,EQUIP58161,2026-04-02,dust cleaning,Высокая,Обнаружена dust cleaning после 24 дней эксплуатации,Отклонена,0
M00414,2026-04-28,ip_phone,EQUIP68376,2026-03-08,dust cleaning,Низкая,Обнаружена dust cleaning после 2 дней эксплуатации,Новая,5000
M00415,2026-04-30,cisco_switch,EQUIP27325,2026-03-21,error log analysis,Средняя,Обнаружена error log analysis после 3 дней эксплуатации,Отклонена,10000
M00416,2026-04-30,nas,EQUIP30825,2026-04-07,software update,Высокая,Обнаружена software update после 8 дней эксплуатации,В обработке,1000
M00417,2026-05-01,scaner,EQUIP32987,2026-04-30,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 16 дней эксплуатации,Отклонена,5000
M00418,2026-05-03,printer,EQUIP85281,2026-04-07,hardware diagnostics,Низкая,Обнаружена hardware diagnostics после 24 дней эксплуатации,Решена,0
M00419,2026-05-03,cisco_switch,EQUIP81609,2026-02-28,error log analysis,Низкая,Обнаружена error log analysis после 30 дней эксплуатации,В обработке,2000
M00420,2026-05-05,ip_phone,EQUIP94236,2026-04-07,dust cleaning,Средняя,Обнаружена dust cleaning после 18 дней эксплуатации,Решена,10000
M00421,2026-05-07,cisco_switch,EQUIP68213,2026-02-07,port testing,Средняя,Обнаружена port testing после 28 дней эксплуатации,Решена,0
M00422,2026-05-08,pc,EQUIP49665,2026-03-17,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 19 дней эксплуатации,Решена,5000
M00423,2026-05-08,cisco_router,EQUIP86588,2026-04-21,error log analysis,Средняя,Обнаружена error log analysis после 4 дней эксплуатации,Новая,2000
M00424,2026-05-09,printer,EQUIP79212,2026-04-21,dust cleaning,Средняя,Обнаружена dust cleaning после 7 дней эксплуатации,Отклонена,0
M00425,2026-05-09,scaner,EQUIP83564,2026-03-21,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 15 дней эксплуатации,Решена,1000
M00426,2026-05-10,scaner,EQUIP39848,2026-02-22,hardware diagnostics,Низкая,Обнаружена hardware diagnostics после 6 дней эксплуатации,Новая,1000
M00427,2026-05-12,ip_phone,EQUIP39250,2026-03-19,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 14 дней эксплуатации,Решена,10000
M00428,2026-05-12,cisco_switch,EQUIP52526,2026-05-09,port testing,Средняя,Обнаружена port testing после 21 дней эксплуатации,В обработке,1000
M00429,2026-05-12,printer,EQUIP50020,2026-03-18,error log analysis,Низкая,Обнаружена error log analysis после 5 дней эксплуатации,Решена,10000
M00430,2026-05-12,cisco_switch,EQUIP25952,2026-04-16,error log analysis,Средняя,Обнаружена error log analysis после 25 дней эксплуатации,Новая,10000
M00431,2026-05-14,ip_phone,EQUIP22423,2026-02-15,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 26 дней эксплуатации,Отклонена,2000
M00432,2026-05-14,nas,EQUIP19453,2026-02-25,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 23 дней эксплуатации,Отклонена,0
